Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Web demo QA,Chrome 134.0.6998.89,,,15-03-2025 07:17:15,15-03-2025 07:19:48,2m - 32.848s,PASSED
,,,,,,,
Test Cases/POSITIVE - Radio Button DemoQA,Chrome 134.0.6998.89,,,15-03-2025 07:17:15,15-03-2025 07:17:30,14.335s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,15-03-2025 07:17:16,15-03-2025 07:17:19,3.339s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:19,15-03-2025 07:17:25,6.242s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,15-03-2025 07:17:25,15-03-2025 07:17:25,0.165s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:25,15-03-2025 07:17:26,0.673s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Radio Button""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:26,15-03-2025 07:17:28,1.775s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Yes""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:28,15-03-2025 07:17:29,1.611s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Impressive""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:29,15-03-2025 07:17:30,0.487s,PASSED
,,,,,,,
Test Cases/POSITIVE - Edit Table DemoQA,Chrome 134.0.6998.89,,,15-03-2025 07:17:30,15-03-2025 07:17:46,16.315s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,15-03-2025 07:17:30,15-03-2025 07:17:31,1.077s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:31,15-03-2025 07:17:36,5.179s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,15-03-2025 07:17:36,15-03-2025 07:17:37,0.408s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:37,15-03-2025 07:17:37,0.748s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Web Tables""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:37,15-03-2025 07:17:39,1.531s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Add_searchBox""), """")",Chrome 134.0.6998.89,,,15-03-2025 07:17:39,15-03-2025 07:17:41,2.205s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/svg_1""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:41,15-03-2025 07:17:41,0.334s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_First Name_firstName""), ""angga"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:41,15-03-2025 07:17:42,0.794s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Last Name_lastName""), ""trinugraha"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:42,15-03-2025 07:17:43,0.535s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Age_age""), ""18"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:43,15-03-2025 07:17:43,0.526s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""cierra@example.com"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:43,15-03-2025 07:17:44,0.552s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:44,15-03-2025 07:17:44,0.266s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""anggatri78@gmail.com"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:44,15-03-2025 07:17:45,0.539s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Salary_salary""), ""500000000"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:45,15-03-2025 07:17:45,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:45,15-03-2025 07:17:45,0.294s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Add_searchBox""), ""angga"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:45,15-03-2025 07:17:46,0.762s,PASSED
,,,,,,,
Test Cases/POSITIVE - Chekbox DemoQA,Chrome 134.0.6998.89,,,15-03-2025 07:17:46,15-03-2025 07:17:58,11.827s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,15-03-2025 07:17:46,15-03-2025 07:17:47,1.004s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,15-03-2025 07:17:47,15-03-2025 07:17:54,7.336s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,15-03-2025 07:17:55,15-03-2025 07:17:55,0.402s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:55,15-03-2025 07:17:56,0.601s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Check Box""))",Chrome 134.0.6998.89,,,15-03-2025 07:17:56,15-03-2025 07:17:57,1.677s,PASSED
