Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Web demo QA,Chrome 134.0.6998.89,,,15-03-2025 04:56:16,15-03-2025 04:59:59,3m - 42.526s,PASSED
,,,,,,,
Test Cases/POSITIVE - Text Box DemoQA,Chrome 134.0.6998.89,,,15-03-2025 04:56:16,15-03-2025 04:56:35,19.209s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,15-03-2025 04:56:16,15-03-2025 04:56:18,1.885s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,15-03-2025 04:56:18,15-03-2025 04:56:19,0.625s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,15-03-2025 04:56:19,15-03-2025 04:56:23,4.596s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:23,15-03-2025 04:56:24,0.700s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:24,15-03-2025 04:56:25,1.546s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), ""angga"")",Chrome 134.0.6998.89,,,15-03-2025 04:56:25,15-03-2025 04:56:27,1.339s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""anggatri78@gmail.com"")",Chrome 134.0.6998.89,,,15-03-2025 04:56:27,15-03-2025 04:56:28,0.940s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), ""anggatri78@gmail.com"")",Chrome 134.0.6998.89,,,15-03-2025 04:56:28,15-03-2025 04:56:28,0.507s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), ""jalan kucica"")",Chrome 134.0.6998.89,,,15-03-2025 04:56:28,15-03-2025 04:56:29,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:29,15-03-2025 04:56:35,6.511s,PASSED
,,,,,,,
Test Cases/POSITIVE - Radio Button DemoQA,Chrome 134.0.6998.89,,,15-03-2025 04:56:35,15-03-2025 04:56:46,10.383s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,15-03-2025 04:56:35,15-03-2025 04:56:37,1.208s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,15-03-2025 04:56:37,15-03-2025 04:56:41,4.861s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,15-03-2025 04:56:41,15-03-2025 04:56:42,0.402s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:42,15-03-2025 04:56:43,0.736s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Radio Button""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:43,15-03-2025 04:56:44,1.959s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Yes""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:44,15-03-2025 04:56:45,0.702s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Impressive""))",Chrome 134.0.6998.89,,,15-03-2025 04:56:45,15-03-2025 04:56:46,0.479s,PASSED
,,,,,,,
Test Cases/POSITIVE - Edit Table DemoQA,Chrome 134.0.6998.89,,,15-03-2025 04:56:46,15-03-2025 04:57:03,17.356s,PASSED
